Timestamp,Date,Time,AC_Power,DC_Power,Voltage_AC,Current_AC,Frequency,Efficiency,Status_Flags
2025-04-04 01:53:30,2025-04-04,01:53:30,0.0,0.0055,231.2,0.0,50.0,1,0
2025-04-04 01:55:42,2025-04-04,01:55:42,0.0,0.011,231.1,0.0,49.9,1,0
2025-04-04 01:57:44,2025-04-04,01:57:44,0.0,0.0055,231.4,0.0,50.0,1,0
2025-04-04 01:59:47,2025-04-04,01:59:47,0.0,0.011,231.1,0.0,50.0,1,0
2025-04-04 02:01:51,2025-04-04,02:01:51,0.0,0.0055,231.4,0.0,50.0,1,0
2025-04-04 02:04:00,2025-04-04,02:04:00,0.0,0.0055,231.3,0.0,50.0,1,0
2025-04-04 02:06:23,2025-04-04,02:06:23,0.0,0.0055,231.6,0.0,50.0,1,0
2025-04-04 02:08:33,2025-04-04,02:08:33,0.0,0.0055,231.4,0.0,50.0,1,0
2025-04-04 02:10:38,2025-04-04,02:10:38,0.0,0.0055,231.1,0.0,49.9,1,0
2025-04-04 02:12:40,2025-04-04,02:12:40,0.0,0.0055,231.3,0.0,50.0,1,0
2025-04-04 02:14:43,2025-04-04,02:14:43,0.0,0.0055,231.4,0.0,50.0,1,0
2025-04-04 02:16:45,2025-04-04,02:16:45,0.0,0.0055,230.5,0.0,50.0,1,0
2025-04-04 02:18:54,2025-04-04,02:18:54,0.0,0.0055,231.6,0.0,50.0,1,0
2025-04-04 02:20:58,2025-04-04,02:20:58,0.0,0.0055,231.4,0.0,50.0,1,0
2025-04-04 02:23:05,2025-04-04,02:23:05,0.0,0.0055,230.9,0.0,50.0,1,0
2025-04-04 02:25:07,2025-04-04,02:25:07,0.0,0.0055,231.3,0.0,50.0,1,0
2025-04-04 02:27:13,2025-04-04,02:27:13,0.0,0.0055,231.5,0.0,50.0,1,0
2025-04-04 02:29:15,2025-04-04,02:29:15,0.0,0.0055,231.5,0.0,50.0,1,0
2025-04-04 02:31:23,2025-04-04,02:31:23,0.0,0.0055,231.4,0.0,50.0,1,0
2025-04-04 02:34:24,2025-04-04,02:34:24,0.0,0.0055,231.5,0.0,50.0,1,0
2025-04-04 02:36:33,2025-04-04,02:36:33,0.0,0.0055,231.0,0.0,50.0,1,0
2025-04-04 02:39:35,2025-04-04,02:39:35,0.0,0.0055,231.8,0.0,50.0,1,0
2025-04-04 02:41:39,2025-04-04,02:41:39,0.0,0.0055,231.6,0.0,50.0,1,0
2025-04-04 02:43:43,2025-04-04,02:43:43,0.0,0.011,231.7,0.0,50.0,1,0
2025-04-04 02:45:52,2025-04-04,02:45:52,0.0,0.0055,231.8,0.0,50.0,1,0
2025-04-04 02:47:54,2025-04-04,02:47:54,0.0,0.0055,231.9,0.0,50.0,1,0
2025-04-04 02:49:58,2025-04-04,02:49:58,0.0,0.0055,231.9,0.0,50.0,1,0
2025-04-04 02:53:11,2025-04-04,02:53:11,0.0,0.0055,232.0,0.0,50.0,1,0
2025-04-04 02:55:27,2025-04-04,02:55:27,0.0,0.0055,231.8,0.0,50.0,1,0
2025-04-04 02:57:37,2025-04-04,02:57:37,0.0,0.0055,229.4,0.0,50.0,1,0
2025-04-04 02:59:49,2025-04-04,02:59:49,0.0,0.0055,229.3,0.0,50.0,1,0
2025-04-04 03:01:53,2025-04-04,03:01:53,0.0,0.0055,229.3,0.0,50.0,1,0
2025-04-04 03:04:06,2025-04-04,03:04:06,0.0,0.0055,229.2,0.0,50.0,1,0
2025-04-04 03:06:11,2025-04-04,03:06:11,0.0,0.0055,229.8,0.0,49.9,1,0
2025-04-04 03:08:16,2025-04-04,03:08:16,0.0,0.0055,229.8,0.0,50.0,1,0
2025-04-04 03:10:17,2025-04-04,03:10:17,0.0,0.0055,229.6,0.0,50.0,1,0
2025-04-04 03:12:19,2025-04-04,03:12:19,0.0,0.0055,229.4,0.0,49.9,1,0
2025-04-04 03:14:21,2025-04-04,03:14:21,0.0,0.0055,229.4,0.0,50.0,1,0
2025-04-04 03:16:32,2025-04-04,03:16:32,0.0,0.0055,229.4,0.0,50.0,1,0
2025-04-04 03:18:41,2025-04-04,03:18:41,0.0,0.0055,229.5,0.0,50.0,1,0
2025-04-04 03:20:44,2025-04-04,03:20:44,0.0,0.0055,229.4,0.0,49.9,1,0
2025-04-04 03:22:48,2025-04-04,03:22:48,0.0,0.0055,229.6,0.0,50.0,1,0
2025-04-04 03:24:56,2025-04-04,03:24:56,0.0,0.0055,229.3,0.0,49.9,1,0
2025-04-04 03:27:10,2025-04-04,03:27:10,0.0,0.0055,229.4,0.0,50.0,1,0
2025-04-04 03:29:14,2025-04-04,03:29:14,0.0,0.0055,229.6,0.0,50.0,1,0
2025-04-04 03:31:18,2025-04-04,03:31:18,0.0,0.0055,229.4,0.0,50.0,1,0
2025-04-04 03:33:21,2025-04-04,03:33:21,0.0,0.0055,229.5,0.0,50.0,1,0
2025-04-04 03:35:24,2025-04-04,03:35:24,0.0,0.0055,229.6,0.0,50.0,1,0
2025-04-04 03:37:26,2025-04-04,03:37:26,0.0,0.0055,229.5,0.0,50.0,1,0
2025-04-04 03:39:36,2025-04-04,03:39:36,0.0,0.0055,229.7,0.0,50.0,1,0
2025-04-04 03:41:38,2025-04-04,03:41:38,0.0,0.0055,229.6,0.0,50.0,1,0
2025-04-04 03:43:41,2025-04-04,03:43:41,0.0,0.011,229.0,0.0,50.0,1,0
2025-04-04 03:45:48,2025-04-04,03:45:48,0.0,0.011,229.5,0.0,49.9,1,0
2025-04-04 03:48:52,2025-04-04,03:48:52,0.0,0.0055,229.5,0.0,50.0,1,0
2025-04-04 03:50:55,2025-04-04,03:50:55,0.0,0.0055,229.5,0.0,50.0,1,0
2025-04-04 03:53:06,2025-04-04,03:53:06,0.0,0.0055,230.1,0.0,50.0,1,0
2025-04-04 03:55:09,2025-04-04,03:55:09,0.0,0.0055,229.2,0.0,50.0,1,0
2025-04-04 03:57:13,2025-04-04,03:57:13,0.0,0.0055,228.6,0.0,50.0,1,0
2025-04-04 03:59:16,2025-04-04,03:59:16,0.0,0.0055,228.2,0.0,50.0,1,0
2025-04-04 04:01:21,2025-04-04,04:01:21,0.0,0.0055,228.4,0.0,50.0,1,0
2025-04-04 04:03:39,2025-04-04,04:03:39,0.0,0.011,228.4,0.0,50.0,1,0
2025-04-04 04:05:42,2025-04-04,04:05:42,0.0,0.0055,228.3,0.0,50.0,1,0
2025-04-04 04:07:45,2025-04-04,04:07:45,0.0,0.0055,228.5,0.0,49.9,1,0
2025-04-04 04:10:52,2025-04-04,04:10:52,0.0,0.0055,228.5,0.0,49.9,1,0
2025-04-04 04:12:57,2025-04-04,04:12:57,0.0,0.0055,228.5,0.0,50.0,1,0
2025-04-04 04:15:08,2025-04-04,04:15:08,0.0,0.0055,227.7,0.0,50.0,1,0
2025-04-04 04:17:11,2025-04-04,04:17:11,0.0,0.0055,228.5,0.0,49.9,1,0
2025-04-04 04:19:19,2025-04-04,04:19:19,0.0,0.0055,228.6,0.0,50.0,1,0
2025-04-04 04:22:25,2025-04-04,04:22:25,0.0,0.0055,228.5,0.0,50.0,1,0
2025-04-04 04:24:34,2025-04-04,04:24:34,0.0,0.0055,228.2,0.0,50.0,1,0
2025-04-04 04:26:49,2025-04-04,04:26:49,0.0,0.0055,229.6,0.0,50.0,1,0
2025-04-04 04:28:56,2025-04-04,04:28:56,0.0,0.0055,228.3,0.0,50.0,1,0
2025-04-04 04:31:03,2025-04-04,04:31:03,0.0,0.0055,228.5,0.0,50.0,1,0
2025-04-04 04:33:14,2025-04-04,04:33:14,0.0,0.0055,228.6,0.0,50.0,1,0
2025-04-04 04:35:32,2025-04-04,04:35:32,0.0,0.0055,228.3,0.0,50.0,1,0
2025-04-04 04:37:37,2025-04-04,04:37:37,0.0,0.0055,228.4,0.0,50.0,1,0
2025-04-04 04:39:48,2025-04-04,04:39:48,0.0,0.0055,228.5,0.0,50.0,1,0
2025-04-04 04:42:11,2025-04-04,04:42:11,0.0,0.0055,228.4,0.0,49.9,1,0
2025-04-04 04:44:17,2025-04-04,04:44:17,0.0,0.0055,228.0,0.0,50.0,1,0
2025-04-04 04:46:26,2025-04-04,04:46:26,0.0,0.0055,228.4,0.0,50.0,1,0
2025-04-04 04:48:31,2025-04-04,04:48:31,0.0,0.0055,228.6,0.0,49.9,1,0
2025-04-04 04:50:50,2025-04-04,04:50:50,0.0,0.0055,228.4,0.0,50.0,1,0
2025-04-04 04:52:57,2025-04-04,04:52:57,0.0,0.0055,227.4,0.0,50.0,1,0
2025-04-04 04:55:09,2025-04-04,04:55:09,0.0,0.0055,226.7,0.0,50.0,1,0
2025-04-04 04:57:12,2025-04-04,04:57:12,0.0,0.0055,226.7,0.0,50.0,1,0
2025-04-04 04:59:37,2025-04-04,04:59:37,0.0,0.0055,226.7,0.0,50.0,1,0
2025-04-04 05:01:40,2025-04-04,05:01:40,0.0,0.0055,226.6,0.0,50.0,1,0
