inverter_id,forecasted_energy_kwh,forecast_date
04,0.0,2025-04-06
09,0.0,2025-04-06
06,0.0,2025-04-06
05,0.0,2025-04-06
08,0.0,2025-04-06
07,0.0,2025-04-06
10,0.0,2025-04-06
01,0.0,2025-04-06
03,0.0,2025-04-06
02,0.0,2025-04-06
