,processed_INVERTER_04_2025-04-04_2025-04-05_cleaned,processed_INVERTER_09_2025-04-04_2025-04-05_cleaned
MAPE,1621.1129075698275,2651.593620181652
RMSE,6.969020700084978,7.429083540819999
MAE,3.267755271381769,3.272919512961678
R2,0.9711043777807178,0.9640063104278606
